Players,Adjust factor,Games,Liberal wins,Fascist wins,HC wins,HS wins,L Policies,F Policies,Total Policies,Average Anarchies,FCC,HCC,LCPC,HCPC,HCCC,HV
7,1.0,1000,435,565,160,27,3594,4580,8174,2.013,1,0,0,1,0,0
7,1.0,1000,489,511,234,66,3710,4395,8105,0.974,1,0,0,1,0,1
7,1.0,1000,545,455,203,39,3952,4134,8086,1.293,1,0,0,1,1,0
7,1.0,1000,602,398,181,54,4139,4044,8183,0.742,1,0,0,1,1,1
7,1.0,1000,327,673,113,12,3043,4907,7950,2.787,1,0,1,0,0,0
7,1.0,1000,393,607,231,46,3253,4625,7878,1.305,1,0,1,0,0,1
7,1.0,1000,423,577,146,29,3470,4605,8075,2.053,1,0,1,0,1,0
7,1.0,1000,499,501,191,62,3681,4364,8045,1.092,1,0,1,0,1,1
7,1.0,1000,339,661,128,20,3109,4856,7965,2.673,1,0,1,1,0,0
7,1.0,1000,435,565,224,57,3339,4508,7847,1.255,1,0,1,1,0,1
7,1.0,1000,470,530,141,45,3640,4422,8062,1.709,1,0,1,1,1,0
7,1.0,1000,553,447,155,53,3840,4229,8069,0.918,1,0,1,1,1,1
7,1.0,1000,243,757,258,26,3243,4999,8242,2.036,1,1,0,0,0,0
7,1.0,1000,258,742,342,49,3192,4870,8062,0.903,1,1,0,0,0,1
7,1.0,1000,379,621,234,41,3624,4673,8297,1.491,1,1,0,0,1,0
7,1.0,1000,389,611,307,43,3675,4532,8207,0.675,1,1,0,0,1,1
7,1.0,1000,429,571,184,25,3681,4554,8235,1.72,1,1,0,1,0,0
7,1.0,1000,465,535,272,53,3726,4335,8061,0.758,1,1,0,1,0,1
7,1.0,1000,586,414,164,37,4091,3994,8085,1.144,1,1,0,1,1,0
7,1.0,1000,598,402,197,41,4159,3929,8088,0.6,1,1,0,1,1,1
7,1.0,1000,181,819,188,13,2835,5296,8131,2.875,1,1,1,0,0,0
7,1.0,1000,216,784,356,33,2848,4939,7787,1.121,1,1,1,0,0,1
7,1.0,1000,293,707,220,25,3216,4849,8065,2.051,1,1,1,0,1,0
7,1.0,1000,345,655,288,42,3453,4650,8103,0.958,1,1,1,0,1,1
7,1.0,1000,328,672,150,32,3129,4912,8041,2.414,1,1,1,1,0,0
7,1.0,1000,387,613,267,43,3393,4598,7991,1.084,1,1,1,1,0,1
7,1.0,1000,456,544,166,41,3623,4323,7946,1.643,1,1,1,1,1,0
7,1.0,1000,556,444,192,50,3949,4040,7989,0.81,1,1,1,1,1,1
7,1.0,1000,202,798,117,17,3094,5355,8449,1.697,2,0,0,0,0,0
7,1.0,1000,241,759,135,17,3287,5235,8522,0.833,2,0,0,0,0,1
7,1.0,1000,279,721,136,11,3452,5135,8587,1.281,2,0,0,0,1,0
7,1.0,1000,300,700,134,14,3525,5096,8621,0.646,2,0,0,0,1,1
7,1.0,1000,267,733,130,19,3279,5176,8455,1.544,2,0,0,1,0,0
7,1.0,1000,293,707,149,20,3420,5130,8550,0.821,2,0,0,1,0,1
7,1.0,1000,368,632,145,23,3617,4816,8433,1.112,2,0,0,1,1,0
7,1.0,1000,429,571,131,17,3860,4696,8556,0.586,2,0,0,1,1,1
7,1.0,1000,153,847,79,9,2591,5483,8074,2.176,2,0,1,0,0,0
7,1.0,1000,170,830,135,7,2750,5406,8156,1.175,2,0,1,0,0,1
7,1.0,1000,205,795,128,13,2940,5264,8204,1.626,2,0,1,0,1,0
7,1.0,1000,262,738,130,25,3197,5174,8371,0.861,2,0,1,0,1,1
7,1.0,1000,149,851,117,6,2696,5462,8158,2.088,2,0,1,1,0,0
7,1.0,1000,214,786,140,13,2936,5296,8232,1.088,2,0,1,1,0,1
7,1.0,1000,298,702,131,22,3279,4992,8271,1.302,2,0,1,1,1,0
7,1.0,1000,328,672,160,19,3480,4906,8386,0.746,2,0,1,1,1,1
7,1.0,1000,136,864,173,6,2930,5444,8374,1.501,2,1,0,0,0,0
7,1.0,1000,145,855,247,6,2985,5331,8316,0.782,2,1,0,0,0,1
7,1.0,1000,205,795,210,11,3245,5163,8408,1.152,2,1,0,0,1,0
7,1.0,1000,223,777,246,23,3271,5108,8379,0.626,2,1,0,0,1,1
7,1.0,1000,264,736,164,8,3344,5078,8422,1.347,2,1,0,1,0,0
7,1.0,1000,336,664,224,16,3625,4920,8545,0.599,2,1,0,1,0,1
7,1.0,1000,376,624,194,15,3749,4611,8360,0.885,2,1,0,1,1,0
7,1.0,1000,433,567,230,15,3891,4491,8382,0.48,2,1,0,1,1,1
7,1.0,1000,91,909,159,3,2449,5563,8012,1.931,2,1,1,0,0,0
7,1.0,1000,97,903,196,10,2561,5497,8058,1.127,2,1,1,0,0,1
7,1.0,1000,184,816,177,8,2974,5263,8237,1.545,2,1,1,0,1,0
7,1.0,1000,181,819,241,10,3036,5221,8257,0.859,2,1,1,0,1,1
7,1.0,1000,145,855,131,7,2718,5451,8169,1.923,2,1,1,1,0,0
7,1.0,1000,213,787,201,8,2987,5191,8178,0.936,2,1,1,1,0,1
7,1.0,1000,310,690,179,10,3373,4808,8181,1.207,2,1,1,1,1,0
7,1.0,1000,358,642,228,12,3612,4666,8278,0.678,2,1,1,1,1,1
8,1.0,1000,673,327,116,27,4257,3965,8222,0.906,0,0,0,0,0,0
8,1.0,1000,675,325,142,46,4243,4060,8303,0.602,0,0,0,0,0,1
8,1.0,1000,699,301,126,33,4385,3795,8180,0.589,0,0,0,0,1,0
8,1.0,1000,689,311,136,51,4315,3887,8202,0.438,0,0,0,0,1,1
8,1.0,1000,671,329,134,18,4299,3907,8206,0.782,0,0,0,1,0,0
8,1.0,1000,677,323,156,46,4287,3961,8248,0.49,0,0,0,1,0,1
8,1.0,1000,755,245,108,32,4503,3614,8117,0.519,0,0,0,1,1,0
8,1.0,1000,759,241,116,50,4512,3705,8217,0.382,0,0,0,1,1,1
8,1.0,1000,577,423,115,31,3848,4253,8101,1.297,0,0,1,0,0,0
8,1.0,1000,590,410,175,33,3908,4174,8082,0.745,0,0,1,0,0,1
8,1.0,1000,662,338,113,40,4165,4017,8182,0.868,0,0,1,0,1,0
8,1.0,1000,691,309,113,59,4245,3958,8203,0.546,0,0,1,0,1,1
8,1.0,1000,577,423,118,31,3876,4223,8099,1.241,0,0,1,1,0,0
8,1.0,1000,616,384,143,41,3942,4127,8069,0.787,0,0,1,1,0,1
8,1.0,1000,686,314,102,42,4250,3801,8051,0.731,0,0,1,1,1,0
8,1.0,1000,723,277,92,41,4349,3804,8153,0.477,0,0,1,1,1,1
8,1.0,1000,439,561,263,32,3897,4466,8363,0.796,0,1,0,0,0,0
8,1.0,1000,433,567,298,41,3804,4499,8303,0.432,0,1,0,0,0,1
8,1.0,1000,550,450,227,32,4125,4098,8223,0.58,0,1,0,0,1,0
8,1.0,1000,555,445,229,54,4131,4180,8311,0.383,0,1,0,0,1,1
8,1.0,1000,647,353,178,47,4270,3879,8149,0.62,0,1,0,1,0,0
8,1.0,1000,667,333,196,55,4301,3907,8208,0.345,0,1,0,1,0,1
8,1.0,1000,727,273,135,32,4504,3568,8072,0.365,0,1,0,1,1,0
8,1.0,1000,720,280,155,29,4487,3583,8070,0.229,0,1,0,1,1,1
8,1.0,1000,370,630,227,29,3534,4697,8231,1.096,0,1,1,0,0,0
8,1.0,1000,351,649,319,38,3409,4680,8089,0.681,0,1,1,0,0,1
8,1.0,1000,463,537,236,28,3871,4344,8215,0.802,0,1,1,0,1,0
8,1.0,1000,525,475,255,51,3969,4216,8185,0.468,0,1,1,0,1,1
8,1.0,1000,576,424,148,51,3975,4177,8152,0.913,0,1,1,1,0,0
8,1.0,1000,577,423,209,50,3978,4171,8149,0.585,0,1,1,1,0,1
